1.391	0.553	1.342	0.098	0.118	0.1	0.064	0.059	0.072	0.237	0.249	0.245
1.491	0.708	1.38	0.098	0.146	0.097	0.158	0.16	0.161	0.312	0.304	0.319
1.305	0.791	1.385	0.091	0.137	0.09	0.283	0.294	0.292	0.406	0.421	0.412
0.159	0.15	0.148	NA	NA	NA	0.405	0.402	0.424	0.493	0.492	0.503
0.17	0.122	0.151	NA	NA	NA	0.513	0.536	0.532	0.589	0.604	0.589
0.175	0.104	0.169	NA	NA	NA	0.632	0.657	0.643	0.693	0.685	0.666
0.146	0.103	0.133	NA	NA	NA	1.123	1.162	1.151	1.144	1.158	1.223
0.156	0.12	0.158	NA	NA	NA	0.055	0.055	0.059	0.228	0.226	0.224
