solution,concentration,vol_slide,vol_total,portion_slide,slide,starch,s,m,l,total
wheat,0.25,10,1000,0.103448275862069,1,wheat,969,387,167,1523
wheat,0.25,10,1000,0.103448275862069,2,wheat,1118,445,199,1762
potato,0.25,10,1000,0.103448275862069,1,potato,9,95,86,190
potato,0.25,10,1000,0.103448275862069,2,potato,7,78,115,200
mix,0.25,10,1000,0.103448275862069,1,wheat,1218,414,116,1748
mix,0.25,10,1000,0.103448275862069,1,potato,,68,60,128
