1.309	0.508	1.323	0.095	0.105	0.098	0.064	0.06	0.075	0.235	0.242	0.224
1.391	0.676	1.306	0.097	0.136	0.096	0.154	0.154	0.153	0.3	0.301	0.299
1.248	0.728	1.314	0.092	0.106	0.102	0.269	0.282	0.283	0.407	0.414	0.393
0.141	0.15	0.148	NA	NA	NA	0.378	0.382	0.402	0.478	0.486	0.479
0.164	0.122	0.153	NA	NA	NA	0.474	0.502	0.502	0.547	0.588	0.568
0.16	0.109	0.175	NA	NA	NA	0.571	0.62	0.622	0.639	0.661	0.645
0.146	0.105	0.138	NA	NA	NA	1.027	1.098	1.099	1.098	1.13	1.173
0.131	0.123	0.159	NA	NA	NA	0.059	0.06	0.063	0.223	0.22	0.224
