1.288	0.498	1.293	0.094	0.105	0.097	0.064	0.06	0.074	0.231	0.239	0.22
1.368	0.668	1.298	0.096	0.136	0.096	0.152	0.153	0.152	0.296	0.297	0.296
1.234	0.722	1.31	0.091	0.106	0.102	0.268	0.28	0.28	0.402	0.409	0.39
0.141	0.149	0.148	NA	NA	NA	0.377	0.377	0.402	0.472	0.481	0.475
0.165	0.122	0.152	NA	NA	NA	0.47	0.497	0.498	0.542	0.582	0.564
0.161	0.109	0.173	NA	NA	NA	0.57	0.617	0.621	0.632	0.655	0.639
0.147	0.105	0.138	NA	NA	NA	1.016	1.083	1.096	1.089	1.124	1.17
0.13	0.122	0.156	NA	NA	NA	0.059	0.059	0.063	0.219	0.218	0.221
