solution,concentration,vol_slide,vol_total,portion_slide,slide,starch,s,m,l,total
wheat,0.25,10,1000,0.103448275862069,1,wheat,14987199.999999994,5985599.999999997,2582933.333333332,23555733.33333332
wheat,0.25,10,1000,0.103448275862069,2,wheat,17291733.333333325,6882666.666666664,3077866.666666665,27252266.666666657
potato,0.25,10,1000,0.103448275862069,1,potato,139199.99999999994,1469333.3333333326,1330133.3333333328,2938666.666666665
potato,0.25,10,1000,0.103448275862069,2,potato,108266.66666666663,1206399.9999999995,1778666.666666666,3093333.333333332
mix,0.25,10,1000,0.103448275862069,1,wheat,18838399.999999993,6403199.999999997,1794133.3333333326,27035733.33333332
mix,0.25,10,1000,0.103448275862069,1,potato,NA,1051733.3333333328,927999.9999999997,1979733.3333333326
